point,cross_track_error_m,cross_track_error_cm
265,0.008867,0.8867
266,0.008888,0.8888
267,0.008903,0.8903
268,0.008917,0.8917
269,0.008925,0.8925
270,0.008932,0.8932
271,0.008934,0.8934
272,0.008940,0.8940
273,0.008943,0.8943
274,0.008949,0.8949
275,0.008954,0.8954
276,0.008958,0.8958
277,0.008964,0.8964
278,0.008966,0.8966
279,0.008968,0.8968
280,0.008972,0.8972
281,0.008982,0.8982
282,0.008994,0.8994
283,0.009017,0.9017
284,0.009035,0.9035
285,0.009045,0.9045
286,0.008898,0.8898
287,0.008684,0.8684
288,0.008439,0.8439
289,0.008142,0.8142
290,0.007883,0.7883
291,0.007634,0.7634
292,0.007409,0.7409
293,0.007220,0.7220
294,0.007047,0.7047
295,0.006859,0.6859
296,0.006720,0.6720
297,0.006653,0.6653
298,0.006653,0.6653
299,0.006759,0.6759
300,0.006917,0.6917
301,0.007119,0.7119
302,0.007341,0.7341
303,0.007667,0.7667
304,0.007403,0.7403
305,0.006895,0.6895
306,0.006398,0.6398
307,0.005953,0.5953
308,0.005592,0.5592
309,0.005412,0.5412
310,0.005555,0.5555
311,0.006091,0.6091
312,0.006924,0.6924
313,0.006049,0.6049
314,0.005055,0.5055
315,0.004550,0.4550
316,0.004620,0.4620
317,0.005252,0.5252
318,0.006167,0.6167
319,0.005616,0.5616
320,0.004712,0.4712
321,0.004095,0.4095
322,0.003627,0.3627
323,0.003527,0.3527
324,0.003764,0.3764
325,0.004132,0.4132
326,0.004639,0.4639
327,0.005222,0.5222
328,0.005639,0.5639
329,0.004579,0.4579
330,0.003773,0.3773
331,0.002990,0.2990
332,0.002440,0.2440
333,0.002519,0.2519
334,0.003398,0.3398
335,0.004586,0.4586
336,0.004555,0.4555
337,0.003055,0.3055
338,0.001706,0.1706
339,0.001674,0.1674
340,0.002985,0.2985
341,0.004502,0.4502
342,0.004026,0.4026
343,0.002010,0.2010
344,0.000678,0.0678
345,0.002386,0.2386
346,0.004464,0.4464
347,0.003195,0.3195
348,0.000833,0.0833
349,0.001411,0.1411
350,0.003968,0.3968
351,0.003918,0.3918
352,0.001706,0.1706
353,0.001163,0.1163
354,0.003164,0.3164
355,0.004804,0.4804
356,0.002595,0.2595
357,0.001645,0.1645
358,0.003498,0.3498
359,0.004577,0.4577
360,0.002504,0.2504
361,0.002804,0.2804
362,0.005219,0.5219
363,0.003617,0.3617
364,0.002995,0.2995
365,0.004495,0.4495
366,0.005469,0.5469
367,0.003892,0.3892
368,0.003722,0.3722
369,0.004816,0.4816
370,0.006340,0.6340
371,0.005124,0.5124
372,0.004394,0.4394
373,0.004645,0.4645
374,0.005777,0.5777
375,0.006621,0.6621
376,0.005606,0.5606
377,0.005169,0.5169
378,0.005415,0.5415
379,0.006329,0.6329
380,0.007333,0.7333
381,0.006439,0.6439
382,0.006073,0.6073
383,0.006058,0.6058
384,0.006530,0.6530
385,0.007296,0.7296
386,0.007987,0.7987
387,0.007297,0.7297
388,0.006911,0.6911
389,0.006978,0.6978
390,0.007441,0.7441
391,0.008150,0.8150
392,0.008801,0.8801
393,0.008280,0.8280
394,0.007934,0.7934
395,0.007834,0.7834
396,0.007954,0.7954
397,0.008328,0.8328
398,0.008879,0.8879
399,0.009591,0.9591
400,0.009398,0.9398
401,0.009046,0.9046
402,0.008877,0.8877
403,0.008865,0.8865
404,0.008937,0.8937
405,0.009093,0.9093
406,0.009308,0.9308
407,0.009617,0.9617
408,0.010011,1.0011
409,0.010535,1.0535
410,0.010485,1.0485
411,0.010200,1.0200
412,0.010061,1.0061
413,0.010027,1.0027
414,0.010100,1.0100
415,0.010277,1.0277
416,0.010562,1.0562
417,0.010931,1.0931
418,0.011425,1.1425
419,0.011682,1.1682
420,0.011483,1.1483
421,0.011361,1.1361
422,0.011273,1.1273
423,0.011244,1.1244
424,0.011247,1.1247
425,0.011289,1.1289
426,0.011377,1.1377
427,0.011515,1.1515
428,0.011706,1.1706
429,0.011944,1.1944
430,0.012222,1.2222
431,0.012564,1.2564
432,0.012893,1.2893
433,0.012923,1.2923
434,0.012770,1.2770
435,0.012661,1.2661
436,0.012612,1.2612
437,0.012593,1.2593
438,0.012630,1.2630
439,0.012703,1.2703
440,0.012815,1.2815
441,0.012959,1.2959
442,0.013116,1.3116
